NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD,ANASC,ETA,Q
20704,2,0.0,11616.0,35000.0,11742.91858,0,36000.0,22358.91858,190000.0,189875.8532,0,90000,1942,62,2
20711,2,22000.0,22600.0,0.0,14412.44585,3000,50400.0,5612.44585,1005000.0,1500.0,0,30000,1945,59,3
20711,2,22000.0,22600.0,0.0,14412.44585,3000,50400.0,5612.44585,1005000.0,1500.0,0,30000,1944,60,3
20711,2,22000.0,22600.0,0.0,14412.44585,3000,50400.0,5612.44585,1005000.0,1500.0,0,30000,1977,27,1
20711,2,22000.0,22600.0,0.0,14412.44585,3000,50400.0,5612.44585,1005000.0,1500.0,0,30000,1980,24,3
20767,3,18000.0,7150.0,0.0,8868.236796,0,18600.0,15418.2368,252500.0,82000.0,0,21000,1952,52,1
20767,3,18000.0,7150.0,0.0,8868.236796,0,18600.0,15418.2368,252500.0,82000.0,0,21000,1952,52,3
20767,3,18000.0,7150.0,0.0,8868.236796,0,18600.0,15418.2368,252500.0,82000.0,0,21000,1920,84,3
20767,3,18000.0,7150.0,0.0,8868.236796,0,18600.0,15418.2368,252500.0,82000.0,0,21000,1978,26,3
20767,3,18000.0,7150.0,0.0,8868.236796,0,18600.0,15418.2368,252500.0,82000.0,0,21000,1984,20,3
20837,2,0.0,47866.0,0.0,17008.29723,1800,15600.0,47474.29723,462000.0,1000.0,0,5000,1928,76,3
20837,2,0.0,47866.0,0.0,17008.29723,1800,15600.0,47474.29723,462000.0,1000.0,0,5000,1931,73,3
20839,2,21000.0,0.0,0.0,27834.715,0,36950.0,11884.715,1013600.0,15000.0,0,35000,1954,50,1
20839,2,21000.0,0.0,0.0,27834.715,0,36950.0,11884.715,1013600.0,15000.0,0,35000,1957,47,3
20944,1,49000.0,0.0,0.0,9007.032743,36000,34500.0,-12492.96726,219300.0,12106.90566,15000,53000,1958,46,1
20944,1,49000.0,0.0,0.0,9007.032743,36000,34500.0,-12492.96726,219300.0,12106.90566,15000,53000,1956,48,1
20944,1,49000.0,0.0,0.0,9007.032743,36000,34500.0,-12492.96726,219300.0,12106.90566,15000,53000,1994,10,3
21368,3,0.0,36400.0,0.0,10893.17202,2000,39600.0,5693.172015,320000.0,46500.0,0,30000,1940,64,3
21368,3,0.0,36400.0,0.0,10893.17202,2000,39600.0,5693.172015,320000.0,46500.0,0,30000,1947,57,3
21368,3,0.0,36400.0,0.0,10893.17202,2000,39600.0,5693.172015,320000.0,46500.0,0,30000,1979,25,3
21384,5,0.0,0.0,12000.0,1216.594466,0,13200.0,16.594466,130500.0,2000.0,0,6000,1958,46,2
21384,5,0.0,0.0,12000.0,1216.594466,0,13200.0,16.594466,130500.0,2000.0,0,6000,1962,42,3
21384,5,0.0,0.0,12000.0,1216.594466,0,13200.0,16.594466,130500.0,2000.0,0,6000,1982,22,3
21384,5,0.0,0.0,12000.0,1216.594466,0,13200.0,16.594466,130500.0,2000.0,0,6000,1989,15,3
21453,1,0.0,8216.0,15000.0,12719.87668,1150,26900.0,7885.876675,850150.0,26500.0,55000,45000,1937,67,3
21453,1,0.0,8216.0,15000.0,12719.87668,1150,26900.0,7885.876675,850150.0,26500.0,55000,45000,1976,28,2
21461,2,0.0,7410.0,0.0,3624.891699,0,9600.0,1434.891699,200500.0,3000.0,0,3000,1918,86,3
21464,2,0.0,17424.0,0.0,1304.794053,0,7200.0,11528.79405,51000.0,12630.0,0,2300,1920,84,3
21464,2,0.0,17424.0,0.0,1304.794053,0,7200.0,11528.79405,51000.0,12630.0,0,2300,1927,77,3
21466,2,0.0,28190.0,0.0,5204.960932,0,9600.0,23794.96093,20800.0,16000.0,0,9000,1940,64,3
21472,2,0.0,12350.0,0.0,4974.675097,0,16300.0,1024.675097,188000.0,9000.0,0,14000,1940,64,3
21472,2,0.0,12350.0,0.0,4974.675097,0,16300.0,1024.675097,188000.0,9000.0,0,14000,1948,56,3
21474,2,46000.0,0.0,0.0,12570.3711,13000,37000.0,8570.371097,308000.0,25000.0,12000,45000,1950,54,1
21474,2,46000.0,0.0,0.0,12570.3711,13000,37000.0,8570.371097,308000.0,25000.0,12000,45000,1955,49,1
22074,4,17550.0,0.0,0.0,6112.012646,0,19200.0,4462.012646,207000.0,13500.0,0,18000,1955,49,1
22074,4,17550.0,0.0,0.0,6112.012646,0,19200.0,4462.012646,207000.0,13500.0,0,18000,1962,42,3
22074,4,17550.0,0.0,0.0,6112.012646,0,19200.0,4462.012646,207000.0,13500.0,0,18000,1985,19,3
22074,4,17550.0,0.0,0.0,6112.012646,0,19200.0,4462.012646,207000.0,13500.0,0,18000,1990,14,3
22099,4,0.0,0.0,14400.0,4808.297233,0,19200.0,8.297233,66500.0,1000.0,0,3500,1958,46,2
22099,4,0.0,0.0,14400.0,4808.297233,0,19200.0,8.297233,66500.0,1000.0,0,3500,1962,42,3
22099,4,0.0,0.0,14400.0,4808.297233,0,19200.0,8.297233,66500.0,1000.0,0,3500,1982,22,3
22099,4,0.0,0.0,14400.0,4808.297233,0,19200.0,8.297233,66500.0,1000.0,0,3500,1985,19,3
